Replicate Site FreqRecombinant MaxRecombHaplotype
1 447 0 0
1 467 0.0404360753221011 0.0325074331020813
1 499 0.0481665014866205 0.0325074331020813
1 510 0.0491575817641229 0.0325074331020813
1 533 0.0646184340931616 0.0325074331020813
1 540 0.066005946481665 0.0325074331020813
1 622 0.0905847373637265 0.0325074331020813
1 636 0.117938553022795 0.0325074331020813
2 447 0 0
2 467 0.0398976982097187 0.0327365728900256
2 499 0.048849104859335 0.0327365728900256
2 510 0.0514066496163683 0.0327365728900256
2 533 0.0682864450127878 0.0327365728900256
2 540 0.0695652173913044 0.0327365728900256
2 622 0.09846547314578 0.0327365728900256
2 636 0.129667519181586 0.0327365728900256
